
> journey-lite@0.1.0 import:journeylite-blog
> tsx scripts/import-journeylite-blog-to-sanity.ts --create-drafts

[2026-05-21T17:45:04.395Z] Importing 451 posts into Sanity
[2026-05-21T17:45:04.395Z] Project: 44pkofuy / production
[2026-05-21T17:45:06.294Z] Created draft: drafts.jl-blog-1000-off-self-pay-gastric-sleeve
[2026-05-21T17:45:07.895Z] Created draft: drafts.jl-blog-1000-off
[2026-05-21T17:45:09.310Z] Created draft: drafts.jl-blog-125-pounds-down-jennifers-vsg-before-and-after-story
[2026-05-21T17:45:10.880Z] Created draft: drafts.jl-blog-181
[2026-05-21T17:45:12.323Z] Created draft: drafts.jl-blog-2025-weight-loss-specials
[2026-05-21T17:45:13.862Z] Created draft: drafts.jl-blog-215
[2026-05-21T17:45:15.345Z] Created draft: drafts.jl-blog-24-hour-clear-liquid-diet
[2026-05-21T17:45:16.947Z] Created draft: drafts.jl-blog-282
[2026-05-21T17:45:18.358Z] Created draft: drafts.jl-blog-298
[2026-05-21T17:45:19.955Z] Created draft: drafts.jl-blog-29th-annual-meeting-of-the-american-society-of-metabolic-and-bariatric-surgery
[2026-05-21T17:45:21.432Z] Created draft: drafts.jl-blog-3-and-2
[2026-05-21T17:45:22.978Z] Created draft: drafts.jl-blog-308
[2026-05-21T17:45:24.392Z] Created draft: drafts.jl-blog-495
[2026-05-21T17:45:25.914Z] Created draft: drafts.jl-blog-5-and-1-diet
[2026-05-21T17:45:27.402Z] Created draft: drafts.jl-blog-5-myths-about-obesity
[2026-05-21T17:45:29.444Z] Created draft: drafts.jl-blog-5-new-weight-loss-options-for-2015
[2026-05-21T17:45:31.025Z] Created draft: drafts.jl-blog-5-reasons-weight-loss-surgery-beats-glp-1s
[2026-05-21T17:45:32.450Z] Created draft: drafts.jl-blog-74-pounds-down-and-a-lifetime-ahead-heathers-gastric-sleeve-success-story
[2026-05-21T17:45:32.959Z] FAILED to import a-legacy-of-weight-loss-success-journeylites-20-year-history-of-bariatric-excellence: Error: Mutation failed: Document by ID "drafts.jl-blog-a-legacy-of-weight-loss-success-journeylites-20-year-history-of-bariatric-excellence" already exists (traceId: ef822dbb9472c0c50affce1a1256ba90):
- Document by ID "drafts.jl-blog-a-legacy-of-weight-loss-success-journeylites-20-year-history-of-bariatric-excellence" already exists
[2026-05-21T17:45:34.470Z] Created draft: drafts.jl-blog-activity-exercise-after-weight-loss-surgery
[2026-05-21T17:45:36.045Z] Created draft: drafts.jl-blog-alexas-gastric-sleeve-before-and-after-testimonial
[2026-05-21T17:45:37.471Z] Created draft: drafts.jl-blog-alicias-vsg-before-and-after-story-at-journeylite
[2026-05-21T17:45:39.080Z] Created draft: drafts.jl-blog-alisa-gastric-sleeve-success-story
[2026-05-21T17:45:40.489Z] Created draft: drafts.jl-blog-allergens
[2026-05-21T17:45:42.089Z] Created draft: drafts.jl-blog-allurion-gastric-balloon-cost-offer
[2026-05-21T17:45:44.128Z] Created draft: drafts.jl-blog-allurion-swallowable-gastric-balloon
[2026-05-21T17:45:45.529Z] Created draft: drafts.jl-blog-alonas-vsg-before-and-after-story
[2026-05-21T17:45:47.121Z] Created draft: drafts.jl-blog-announcing-wednesday-office-hours-northern-kentucky-office
[2026-05-21T17:45:49.155Z] Created draft: drafts.jl-blog-apollo-endosurgery-inc-announces-fda-approval-of-the-orbera-gastric-balloon-a-non-surgical-solut
[2026-05-21T17:45:50.558Z] Created draft: drafts.jl-blog-article-about-nutritional-for-plastic-surgery
[2026-05-21T17:45:52.151Z] Created draft: drafts.jl-blog-asian-lettuce-wraps
[2026-05-21T17:45:53.604Z] Created draft: drafts.jl-blog-atomic-habits-explained
[2026-05-21T17:45:55.181Z] Created draft: drafts.jl-blog-audreys-gastric-sleeve-vsg-before-and-after-story
[2026-05-21T17:45:56.609Z] Created draft: drafts.jl-blog-back-to-school-semaglutide-special-at-journeylite
[2026-05-21T17:45:58.199Z] Created draft: drafts.jl-blog-band-to-sleeve-conversion
[2026-05-21T17:45:59.636Z] Created draft: drafts.jl-blog-bariatric-surgery-10-healthy-habits
[2026-05-21T17:46:01.257Z] Created draft: drafts.jl-blog-bariatric-surgery-vs-glp-1s-which-is-better
[2026-05-21T17:46:02.644Z] Created draft: drafts.jl-blog-bariatric-surgery-yields-5x-more-weight-loss-than-glp-1
[2026-05-21T17:46:04.229Z] Created draft: drafts.jl-blog-belviq-new-weight-loss-drug-prescribed-in-cincinnati-dayton-and-columbus
[2026-05-21T17:46:05.650Z] Created draft: drafts.jl-blog-bens-gastric-sleeve-before-and-after-story
[2026-05-21T17:46:07.269Z] Created draft: drafts.jl-blog-best-glp-1-alternatives
[2026-05-21T17:46:08.688Z] Created draft: drafts.jl-blog-billing-policy
[2026-05-21T17:46:10.276Z] Created draft: drafts.jl-blog-bland-diet
[2026-05-21T17:46:11.696Z] Created draft: drafts.jl-blog-block-tc-tp-raintree
[2026-05-21T17:46:13.291Z] Created draft: drafts.jl-blog-bloodwork-duodenal-switchsips
[2026-05-21T17:46:14.713Z] Created draft: drafts.jl-blog-bloodwork-gastric-bypass
[2026-05-21T17:46:16.307Z] Created draft: drafts.jl-blog-bloodwork-gastric-sleeve
[2026-05-21T17:46:18.255Z] Created draft: drafts.jl-blog-blue-cross-blue-shield-bcbs-weight-loss-surgery-coverage-updates
[2026-05-21T17:46:19.742Z] Created draft: drafts.jl-blog-bobbys-vsg-before-and-after-story
[2026-05-21T17:46:21.334Z] Created draft: drafts.jl-blog-body-contouring-after-weight-loss
[2026-05-21T17:46:22.749Z] Created draft: drafts.jl-blog-breadless-stuffing
[2026-05-21T17:46:24.349Z] Created draft: drafts.jl-blog-breaking-a-plateau-after-weight-loss-surgery
[2026-05-21T17:46:25.851Z] Created draft: drafts.jl-blog-cabin
